"Title,Type,Genre,Release Year,Rating,Duration,Country"
"Title 1,TV Show,Comedy,1955,PG,3 Seasons,Japan"
"Title 2,TV Show,Horror,2020,G,3 Seasons,India"
"Title 3,TV Show,Action,1966,TV-PG,140 min,United States"
"Title 4,Movie,Thriller,2011,PG-13,3 Seasons,Canada"
"Title 5,TV Show,Romance,1959,TV-14,172 min,India"
"Title 6,Movie,Action,2007,PG-13,3 Seasons,Japan"
"Title 7,Movie,Romance,1977,TV-14,68 min,United States"
"Title 8,Movie,Comedy,1971,TV-PG,104 min,Japan"
"Title 9,Movie,Drama,2000,PG-13,2 Seasons,Canada"
"Title 10,Movie,Thriller,1975,TV-MA,1 Seasons,India"
"Title 11,TV Show,Romance,2021,TV-14,139 min,Australia"
"Title 12,TV Show,Action,1986,PG-13,85 min,Germany"
"Title 13,Movie,Documentary,1997,R,129 min,Australia"
"Title 14,Movie,Sci-Fi,1986,TV-PG,129 min,Germany"
"Title 15,TV Show,Documentary,1994,PG-13,3 Seasons,Canada"
"Title 16,TV Show,Horror,1996,TV-MA,107 min,Japan"
"Title 17,Movie,Comedy,1969,TV-PG,1 Seasons,United Kingdom"
"Title 18,TV Show,Drama,1983,G,147 min,South Korea"
"Title 19,Movie,Romance,2011,G,1 Seasons,United Kingdom"
"Title 20,Movie,Romance,2023,R,1 Seasons,United Kingdom"
"Title 21,TV Show,Sci-Fi,1993,G,120 min,Australia"
"Title 22,TV Show,Drama,1968,R,2 Seasons,Germany"
"Title 23,Movie,Drama,2023,TV-PG,3 Seasons,United Kingdom"
"Title 24,Movie,Comedy,1965,R,115 min,United States"
"Title 25,TV Show,Sci-Fi,1991,TV-MA,1 Seasons,Australia"
"Title 26,TV Show,Romance,1997,R,2 Seasons,United States"
"Title 27,Movie,Drama,2004,TV-PG,164 min,Japan"
"Title 28,TV Show,Horror,1952,PG-13,175 min,United States"
"Title 29,Movie,Thriller,1969,TV-MA,68 min,India"
"Title 30,TV Show,Comedy,1955,PG,78 min,Canada"
"Title 31,Movie,Horror,1992,TV-MA,2 Seasons,Australia"
"Title 32,TV Show,Horror,1989,TV-MA,2 Seasons,United States"
"Title 33,Movie,Documentary,1975,TV-MA,3 Seasons,Japan"
"Title 34,TV Show,Thriller,1996,TV-14,1 Seasons,Canada"
"Title 35,Movie,Thriller,2019,TV-PG,2 Seasons,Canada"
"Title 36,Movie,Documentary,1999,PG-13,88 min,United States"
"Title 37,Movie,Comedy,1964,TV-PG,133 min,United Kingdom"
"Title 38,Movie,Action,2003,TV-MA,156 min,Australia"
"Title 39,TV Show,Documentary,2000,PG,3 Seasons,Japan"
"Title 40,Movie,Comedy,1989,TV-14,2 Seasons,United Kingdom"
"Title 41,Movie,Documentary,1971,PG-13,1 Seasons,Germany"
"Title 42,TV Show,Horror,1981,TV-PG,2 Seasons,Japan"
"Title 43,Movie,Horror,2012,TV-MA,141 min,India"
"Title 44,Movie,Comedy,1955,G,1 Seasons,Germany"
"Title 45,TV Show,Comedy,1959,TV-PG,76 min,United States"
"Title 46,TV Show,Sci-Fi,1961,TV-MA,2 Seasons,Australia"
"Title 47,TV Show,Thriller,1996,G,130 min,United States"
"Title 48,TV Show,Thriller,1967,R,67 min,Germany"
"Title 49,TV Show,Documentary,1973,PG,3 Seasons,United Kingdom"
"Title 50,TV Show,Comedy,1965,TV-PG,2 Seasons,India"
"Title 51,TV Show,Drama,1969,G,3 Seasons,Japan"
"Title 52,Movie,Documentary,1980,PG,140 min,Japan"
"Title 53,TV Show,Drama,1989,R,2 Seasons,India"
"Title 54,TV Show,Documentary,1964,PG,3 Seasons,Germany"
"Title 55,TV Show,Thriller,2018,TV-MA,128 min,Japan"
"Title 56,TV Show,Horror,1952,PG,97 min,South Korea"
"Title 57,Movie,Drama,2016,TV-14,2 Seasons,Germany"
"Title 58,TV Show,Horror,1965,TV-PG,1 Seasons,India"
"Title 59,Movie,Romance,2020,R,3 Seasons,Germany"
"Title 60,Movie,Documentary,2016,R,2 Seasons,South Korea"
"Title 61,TV Show,Romance,2014,TV-PG,3 Seasons,Canada"
"Title 62,TV Show,Thriller,2005,PG,2 Seasons,United Kingdom"
"Title 63,TV Show,Comedy,1970,PG-13,169 min,India"
"Title 64,Movie,Romance,1961,PG-13,3 Seasons,United Kingdom"
"Title 65,Movie,Romance,1960,TV-PG,137 min,Australia"
